bacteria_name,ph,temperature,density_hour_0,density_hour_1,density_hour_2,density_hour_3,density_hour_4,density_hour_5,density_hour_6,density_hour_7,density_hour_8,density_hour_9,density_hour_10,density_hour_11,density_hour_12,density_hour_13,density_hour_14,density_hour_15,density_hour_16,density_hour_17,density_hour_18,density_hour_19,density_hour_20,density_hour_21,density_hour_22,density_hour_23
Pseudomonas aeruginosa,8.4,31.0,416662.51061013446,523764.2343679362,469055.3398991981,440333.1896636182,493305.75298183353,445918.3272629844,431488.7000328029,429650.6352994036,401916.4768858728,421343.7480009183,422630.28711577895,404414.6563763985,414975.6206481371,326168.23232263076,378111.24346969306,347858.4704483983,361032.4820034077,337726.2273729857,342989.00162364007,338384.6634750864,338397.5457992395,310044.0094101027,247237.6149888664,248238.8728435254
Streptococcus pyogenes,7.7,30.8,155430.91038674192,159645.4786559697,158723.92261198757,161514.22914104053,204325.87765676383,269800.6505218964,379921.2213467031,500110.21604108793,684864.570924886,1016448.7708766283,1366356.308373325,1839284.9727834407,2556245.4313294236,3526938.9245157316,4721868.542409486,433545846.80686647,443642682.1182825,434769828.47591686,426387138.9725088,428868269.409484,434902748.32951087,433091635.51116216,426804661.3917585,423223460.7058563
Pseudomonas aeruginosa,6.6,42.6,19825.797955437494,18556.09914292412,20820.650739154655,17225.3530646451,18558.76137793177,16203.669099384186,17122.30607996483,14218.369621090673,15302.781871061896,14353.740354449094,12980.453647377248,12924.65781513965,14478.853098063071,11557.778885169972,14534.317687684634,14407.395169881853,12308.994077778036,12803.781387803234,12225.666799726656,10693.123871012824,11963.898957053108,11380.392533229164,11593.198898051647,11972.235239869586
Bacillus subtilis,4.6,17.2,370513.0349387801,284556.0340584639,354060.53596492147,297912.88593871525,308862.28111154883,306778.2288307083,333695.1053113935,310155.823563078,324496.5058386672,314878.9898415871,283747.2000043411,271398.0549691081,273672.0161059338,298934.76110779337,260461.69718694285,230996.0668268469,321044.3677496834,234009.4600680613,245555.3446662578,299504.41469021153,250543.15321692644,220259.50175846263,220926.00922787117,241284.40274428175
Pseudomonas aeruginosa,7.3,58.9,440505.6684817022,383391.88665522233,319506.5198480047,344703.0602704919,363168.315314904,413958.61963152303,290699.1431916108,361258.0945934348,323142.1636372748,393787.5900364935,303441.5188046648,270452.0347497013,334672.4231007787,317776.0618755623,308471.8790432661,311007.41848014557,284066.02463840484,320267.3700853065,241259.69796912733,287913.75965741,219050.4617291001,316075.1827361436,271134.47348221194,276406.9454990902
Pseudomonas aeruginosa,7.4,23.9,144043.4601762659,141162.59097274055,138339.33915328575,141510.51139392646,148153.24756818177,152803.7922074283,150411.7837789786,147403.54810339902,149922.69697922468,146924.2430396402,143985.75817884738,141757.86817739505,155099.90152893585,151997.90349835713,148957.94542839,149506.56831086823,174165.0430117233,204206.53565095805,240150.48556961183,260146.6340070266,316322.32328196627,333663.90648577607,385925.156689961,432615.59713288746
Bacillus subtilis,7.1,42.4,51242.17318339213,52490.649370815605,56106.472377808175,54984.34293025201,55958.63747263164,56770.31520153521,55634.9088975045,77884.95779689419,128461.06880382172,238825.70753061344,432666.3622608358,767068.1968725828,1341768.3957436706,2465390.820954281,4376895.487455904,7653259.571112968,15171435.008554496,25483396.04109711,366468454.5090257,374980454.56791806,377672008.96964693,385633083.01270306,378885532.3570774,382475276.6283972
Bacillus subtilis,5.8,29.5,99452.56863159366,100490.15614039425,103175.8383519606,91445.1072214608,85846.14295109588,99269.25076564404,76889.23979187812,81689.64911635417,75403.37778571229,88388.55025744987,86676.29715717188,68746.27170173285,73299.36104418349,76214.83396346815,85805.14206624764,71271.30531400407,56614.791313590744,64547.34921305025,68348.77766529292,66066.57781274727,74801.32631790395,71135.58380273348,56766.76310188282,68316.11028372073
Pseudomonas aeruginosa,7.1,31.3,387428.155623739,390177.91890683933,393149.51704991946,1152387.7639978095,4686446.370309822,18381971.156068828,77208447.57006258,302650320.617499,672051800.7126286,754576737.3706415,739485202.6232287,753072515.3849317,738011065.0772331,726290432.5364496,719656614.1422132,726628162.0845948,733061423.2842538,721850859.7388561,707413842.544079,707662443.7778383,721557402.963161,707126254.9038978,716760345.1908661,720426132.2563987
Bacillus subtilis,7.6,37.7,432395.4351602296,430532.202138347,428184.589621699,433749.4462491867,448113.452710452,1226246.5493008504,3170764.022284598,8318765.343445661,20234193.209861156,53376455.24130229,132017618.69214618,365726704.2273103,626871495.002286,633768630.8494407,644160355.4391317,643226455.1794977,672758173.7945937,659774335.7485483,655202848.1196961,655498861.5504181,642388884.3194097,651266712.2766633,649390324.591806,648991796.333447
Bacillus subtilis,5.2,19.1,199064.56373117663,216887.59869364137,181744.17810911796,188999.52685248724,203334.37156542213,190717.47804542957,221564.55523709912,142892.96368078442,188537.90010688515,194582.34238540896,160960.9057338654,153014.3286746985,157999.1821935388,150981.5345468235,158466.07626209586,149584.15035106364,173525.00337601383,162741.51917612375,123685.33141146092,169319.117475156,122604.92888286331,148264.60331061715,144718.87945677023,130290.01639617849
Streptococcus pyogenes,8.4,39.0,324698.4820829951,301887.0364222461,321449.95649670507,282979.2652180284,270025.6851925476,265359.9772116079,289313.34059663146,262093.02944506615,234253.5217211509,258303.8855130556,225294.55122441496,224883.5314782165,222896.63188365003,260388.66069597437,236954.17041985417,211823.47296546405,197401.1990202397,223699.77573562317,217017.00624019885,186963.82982388776,173384.30172309637,165416.11340613844,191702.08412350024,171399.50265485147
Bacillus subtilis,6.8,23.0,116245.28083921834,114192.57964891636,150330.26577036805,247744.66812091623,388567.69539323903,654847.265775163,1125088.6099974609,1705792.2286327449,2868513.7402248536,4593437.336346005,7157291.668194746,12730742.598983148,19957076.580485415,728731502.0696261,714156872.0282335,717277089.4072944,743589847.6332581,728718050.6805929,720109546.8615977,715816374.499134,713857226.8089532,719433296.9383825,717765601.4898465,742498874.5459992
Pseudomonas aeruginosa,6.9,24.4,418652.38262892066,448340.969465303,439374.15007599693,430586.667074477,421974.93373298744,427130.65865102486,428129.9850220069,422496.7796123221,436848.6730959817,428111.69963406207,424964.13068850886,416464.8480747387,426655.0643655616,505060.784842464,594775.4023439523,674129.5783520559,834083.1556501879,922946.4924698008,1176015.6143779538,1345966.5618668788,1518308.0190603903,1721170.8509488238,2109039.1287266794,2555608.71731077
Pseudomonas aeruginosa,6.6,32.3,406227.0820364472,413368.19955118874,412935.0748509671,1004081.2115651336,4783324.709386923,20399056.20965779,91392307.92827338,410652450.2484566,679043725.8990256,674812494.4462323,661316244.5573076,679085373.3284726,671298977.5150522,678798588.8264995,691264924.0098916,683380831.4623365,669713214.8330898,676397968.7669895,681086380.7528195,670347137.909474,676599346.5514954,670519307.7265549,657108921.5720237,663972425.284241
Escherichia coli,9.8,16.4,218260.0610602071,192288.71193192192,216112.97850425376,192303.6580135684,168916.89059453513,229765.99960825488,166196.69182066747,192664.1942726768,165489.88919868678,178058.69497706453,179646.9111176241,171794.48245517866,177418.16598337816,135499.92233994984,163103.8928338626,167129.36417622404,140236.13367670812,128432.91320066324,135689.7985300181,135053.5028753142,104720.13083291144,131040.19336870011,121822.18519849148,137254.06086649394
Escherichia coli,6.9,42.0,16693.62258329719,17534.64312368585,17795.539973247396,113923.10927620836,2145952.845681129,37311866.40772593,694391916.5768654,843261807.6913772,833202128.1835079,881006867.7548107,863386730.3997145,846118995.7917202,829633770.4713145,849423409.9887719,839245012.3113424,853519120.6945152,854587624.8564506,845650924.8289064,839748769.3078486,822953793.9216915,833952743.3813069,829778542.205801,850635834.5753098,840757793.8713231
Pseudomonas aeruginosa,4.8,36.1,37383.62814877262,40195.66342696659,42346.21845593892,39478.936670045536,35951.48392831343,35980.389766892076,32531.611113140392,34966.512060575114,30641.893485777447,31595.021352108157,33867.12363554239,33373.19481341098,31902.126247963544,28255.89332232481,30285.67455721912,27978.64150774825,34450.13311354821,25149.05150788089,30572.694754093653,25639.357966910127,20218.425856038375,26822.803321149742,26620.23762950198,21098.363545775446
Pseudomonas aeruginosa,6.3,46.5,50545.48780458783,48860.28564903016,49346.04434023457,47095.78878714301,39546.78385530431,43494.901109970786,42733.350433517255,46739.78707385131,36468.0313259875,29895.669718367477,46211.32889562122,40515.4332787134,39896.72624350139,35538.024849596484,32031.023945896937,35921.17123465028,34262.83464187095,33218.24202353818,41420.051024103974,33144.38795222448,30257.875950032012,38378.2352534848,30290.584260185005,22826.538325031663
Escherichia coli,6.7,42.5,364807.5715574714,357511.42012632196,350361.1917237955,1158471.3952338304,19900277.58074553,345974098.84988755,717995499.7101614,762364043.6167895,770150521.399065,760984593.8535656,762167165.232657,751751940.4490782,799086361.2082994,783104633.9841334,767442541.3044506,752093690.4783616,767253518.9787484,751908448.5991734,769012331.9932884,770429604.9891975,767315294.8780427,757607603.2450964,742455451.1801945,754397636.115743
Staphylococcus aureus,8.0,38.0,143071.08853126314,140209.6667606379,141990.7035643716,139352.68755464995,136672.63175809357,144592.19142849938,143984.6184130747,141104.9260448132,138282.82752391693,135517.1709734386,140508.7479138335,137698.57295555685,139891.51460344178,144619.97924781844,141927.14410678792,157956.20432538816,168786.39127142003,196642.8612195258,214267.21403503735,228556.9147097164,245059.45295047885,281561.39099618443,328772.2568930995,346449.69896505435
Escherichia coli,6.6,26.5,367925.9290433144,362259.83237280406,381675.3012709917,383969.42185493646,380410.8422447309,372802.6253998363,378130.04679788806,392822.097386586,384965.6554388543,377266.3423300772,369721.0154834757,448301.92174181854,589309.1040671333,742187.4109579455,967827.9482895712,1296573.7470603588,1655135.5005162994,2240676.362902655,2905245.924226421,3620367.7745161266,4709736.485076988,6392887.908158518,377677515.3648413,373056890.6781328
Escherichia coli,7.9,42.0,337779.6245019718,335029.1282806363,358361.62841606117,352728.2213285267,350743.4900113339,343728.6202111072,343822.55723831843,347445.8159828945,365799.95433208346,500618.4243485824,1191855.3451401785,2798969.9861645508,6847790.67887739,16510301.594799172,38247846.43484341,92104490.97644712,213334531.41217273,434846058.64547616,488877620.9591668,481264937.6788759,524739331.46619314,514244544.8368693,503959653.94013184,497561880.9851117
Escherichia coli,4.0,22.1,525327.815122338,472545.5291970009,425424.3237760833,456490.8722469489,464329.5798997923,409475.8319452061,429374.6605624014,410028.97697482415,320850.8054253109,365723.90488751663,334822.95176674495,396097.0220844089,355609.3922024356,378407.3509858369,375628.23789405666,328374.7707701782,322130.9024591381,333670.14079545543,288119.16020726267,279993.43549243675,317274.4726397659,319872.69646786986,299205.87265536905,268820.9016546211
Staphylococcus aureus,7.6,30.4,360118.9724648937,352916.5930155958,361279.9610994968,572081.6616220635,815112.1147422722,1231866.0300669412,2087596.1898189876,3069238.0821867874,4485542.7114323545,6966382.289711069,10991406.782732593,16854425.02448955,25341662.206607144,38929613.80149234,540054797.9687333,529253702.00935864,521880382.8038407,542317059.9047432,536920714.4349827,554816848.3186251,551460017.0820922,542927182.0231777,543860664.1917214,547940111.9003674
Escherichia coli,4.4,31.9,114340.40243670304,148975.31103040717,122440.43278066996,121761.09993525918,123391.33102538208,105415.66976612037,124375.94109220256,114062.09082233168,110375.49471283738,101909.49462170935,117766.69492389428,111863.46657270938,117731.76911286704,82253.27845873559,99665.67832237722,102269.85301181322,95805.54387632612,80514.42357823749,99269.68618498927,96832.0204583072,86845.32289801034,73090.65059506967,85647.34702443748,78640.4951274398
Staphylococcus aureus,8.2,37.3,112169.90484845982,118234.13961835369,115869.4568259866,114171.99723701071,112533.41001083193,121430.3726777156,119001.76522416128,116621.72991967804,119853.97261744582,117456.8931650969,116255.1000665225,117485.67000841172,115135.95660824348,117746.59693541426,121749.84037181437,124225.04045156276,134472.15324000976,150186.6074525592,157688.05211567128,172394.63878327468,168946.74600760918,208299.08200235173,218857.14839782956,255699.35026717937
Escherichia coli,7.9,13.5,232228.237274507,266319.8435359088,252478.18561237195,292157.35915476026,248882.89639867615,240861.32474508145,188799.30531406717,217835.8134023897,237157.13539959624,223563.92696367673,222206.596909174,220023.39734287417,193213.50407263983,189394.3615836658,170746.119979485,172138.3233644264,170259.26643653715,185746.5555913786,183112.01396972843,155535.81859030575,173569.1389099305,171273.59995031057,152072.081087052,181151.04435650096
Staphylococcus aureus,6.8,9.5,71182.4469407678,67168.98422330592,65481.743519350544,68276.00523866988,53512.814516424834,72508.91239665876,64168.69081874032,61524.24762556515,59353.99369979954,60311.780016526915,62698.46287528974,58139.36949527541,60604.07967320087,55780.44371080243,45263.17573942965,43346.575594981805,50144.04127832298,52111.80067262136,44660.47395777962,48039.86512879285,52885.2479483964,44502.24687719157,44780.78289548608,40384.62439290731
Pseudomonas aeruginosa,7.9,30.4,430062.4850744464,428762.46832309425,458944.33738284424,451906.7596656997,442868.6244723857,434011.251982938,445177.40956612106,436273.86137479864,466982.6403548301,457642.9875477335,473034.90759315406,729347.7250688039,1008152.3495037464,1304186.352411538,1858850.6957963689,2624817.925409653,3490824.86180279,4639572.6788000185,6486457.4342011195,8278400.6463475665,12646926.262589108,16409760.31601116,321774544.91084415,322357083.5940466
Escherichia coli,7.9,25.2,320075.7177651375,325386.25302240066,318878.52796195267,320419.9818834295,321415.2718385551,314986.966401784,331974.35383359314,331709.3952556392,337562.91922826617,330811.6608437008,334744.11546452367,341791.50888423953,334955.67870655475,330945.5925472576,330431.04769734317,345433.65772281383,338524.9845683575,331754.4848769904,342743.77543350874,335888.89992483857,330142.9794790026,345897.44773963233,338979.4987848397,387163.8605131759
Pseudomonas aeruginosa,6.7,8.7,75009.67439592832,90330.17961069,83733.1703641291,94211.36818125552,78233.21613768005,89779.73056531617,82676.84495857773,66527.48448931074,62945.664386846984,73906.725077217,70665.2701900481,68783.05790397631,64885.631688835776,74622.63984053145,75315.86219472348,55511.33274419324,68959.05351706673,56860.19929272577,60119.29694506868,62911.708611376205,52980.190562700576,49579.35234333765,44244.353872855034,58511.25662076334
Bacillus subtilis,6.8,27.7,332887.9350962114,326230.17639428715,1473054.9156189396,6946230.120488708,32044172.479033746,154352589.97254613,723491695.6100663,1075075316.415598,1110856781.7888925,1114064785.4051569,1091783489.6970537,1108496905.5453286,1118131756.9166968,1115139543.6665173,1113012894.1124585,1115840110.3526602,1142878214.835124,1128091175.5341132,1141980067.4215076,1119140466.0730774,1096757656.7516158,1124646986.6046872,1102154046.8725934,1088815429.6499054
Escherichia coli,6.3,59.4,274625.6347396356,321674.65120909276,344795.9691437383,253622.82813927683,317926.1866500946,233419.58870301108,317939.03995499347,318677.3585218288,254156.56076632268,296306.52597994957,347836.9126411288,280874.15024218656,241646.11411090667,261367.0998897206,264714.2182542861,229286.21077162877,241905.50922993364,219725.70039553093,238178.5379370932,228891.1117229064,235108.7572845727,215442.87465258216,242843.73457448016,185152.86137931276
Staphylococcus aureus,7.2,41.9,477996.8869016029,468436.9491635708,459068.21018029936,497938.6430587385,487979.8701975637,478220.2727936125,468655.8673377402,459282.7499909854,472202.3698728701,462758.3224754126,453503.15602590435,455056.9905820475,489038.7134579741,479257.9391888146,469672.7804050383,464269.5695755893,484879.0447878047,475181.46389204863,465677.8346142077,478504.4935036404,476154.6640542969,466631.57077321096,457298.93935774674,450428.0096178141
